Program Name,Category,Agency Name,Bureau Name,Funding Amount,Funding Amount Notes,Period of Availability,Funding Mechanism,New Program (Yes/No),Recipients,Program Description,Eligible Uses,Next Program Milestone,sam.gov link,Statutory Location,Federal Cost Share Requirement
Abandoned Mine Reclamation Fund,Environmental Remediation,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,"$11,293,000,000",,Funding available until expended. Available in fiscal year 2022 and distributed to States & Tribes on an equal annual basis over 15 years.,Grant,No,States and Tribes,Funding to administer a program to provide grants to eligible States and Tribes to clean up abandoned coal mine sites and related problems.,"Cleaning up abandoned coal mine sites and related problems, as specified in the Bipartisan Infrastructure Law, that pose a threat to public health and safety; restoring land and water resources degraded by the effects of past coal mining; and addressing emergency projects. Those sites and related problems must be entered into the Office of Surface Mining and Reclamation’s abandoned mine land inventory system and be associated with a coal mine that was abandoned prior to August 3, 1977. Unlike traditional Abandoned Mine Land funding that has been distributed in the past, and will continue to be distributed annually through at least fiscal year 2035, funding under the Bipartisan Infrastructure Law may be used to design, build, operate, maintain, and rehabilitate acid mine drainage facilities that are not in conjunction with a Priority 1 or Priority 2 site. However, States and Tribes may not place a portion of their Bipartisan Infrastructure Law funding into acid mine drainage set-aside accounts.",Additional Round of Funding Allocated / Selections Announced in 2023,https://sam.gov/fal/60649622afbf4c939bfbc6521a96d644/view,40701,No non-Federal cost share required
Accelerated Implementation and Deployment of Advanced Digital Construction Management Systems (Set-aside),"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$100,000,000",,Available until expended,"Competitive Grants, Cooperative Agreements, other contracts",No,"Federal Highway Administration Research, Technology, and Education Program","The Accelerated Implementation and Deployment of Advanced Digital Construction Management Systems will promote, implement, deploy, demonstrate, showcase, support, and document the application of advanced digital construction management systems, practices, performance, and benefits.","Promotion, implementation, deployment, demonstration, showcase, support, and documentation of the application of advanced digital construction management systems.",To be determined,https://sam.gov/fal/cad57bdb646f4294a628ff138d61bbc0/view,13006,80 percent Federal / 20 percent non-Federal
Accelerated Implementation and Deployment of Pavement Technologies (Set-aside),"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$60,000,000",,Available until expended,"Grants, Cooperative Agreements, other contracts",No,"Federal Highway Administration Research, Technology, and Education Program",Provides a coordinated and cohesive approach to advance research and development of technologies with deployment activities regarding highway pavements and the materials from which highway infrastructure is constructed.,"Activities are focused on providing tools, technologies and guidance, and supporting updated policies, to improve the safety, durability, sustainability and cost-effectiveness of highway pavements, and the materials from which highway infrastructure is constructed.",To be determined,https://sam.gov/fal/cad57bdb646f4294a628ff138d61bbc0/view,13006,80 percent Federal / 20 percent non-Federal
Advanced Energy Manufacturing and Recycling Grants,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$750,000,000",,Available until expended,Grant,Yes,"Manufacturing firm with: (A) gross annual sales of less than $100,000,000; (B) fewer than 500 employees at the plant site of the manufacturing firm; and (C) annual energy bills which total more than $100,000 but less than $2,500,000.",To provide grants to small- and medium-sized manufacturers to enable them to build new or retrofit existing manufacturing and industrial facilities to produce or recycle advanced energy products in communities where coal mines or coal power plants have closed.,"To re-equip, expand, or establish a manufacturing or recycling facility for the production or recycling of advanced energy technologies (including clean electricity, industrial decarbonization, clean transportation, clean fuels, etc.); or to re-equip an industrial of manufacturing facility with equipment designed to reduce greenhouse gas emissions of that facility.",FOA Open in Q2 2023,https://sam.gov/search/?index=cfda&page=1&pageSize=25&sort=-modifiedDate&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ANY&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%2281.086%2081.087%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%2281.086%2081.087%22&sfm%5Bstatus%5D%5Bis_active%5D=true,40209,Not specified
Advanced Energy Security Program,Resilience,Department of Energy,Electricity,"$50,000,000",,Available until expended,"Interagency Agreement with Commerce, National Laboratory funding",Yes,"Utilities, National Labs, Bulk Power System Vendors",To increase the functional preservation of electric grid operations or natural gas and oil operations in the face of threats and hazards.,"(A) Develop capabilities to identify vulnerabilities and critical components that pose major risks to grid security if destroyed or impaired;(B) provide modeling at the national level to predict impacts from natural or human-made events;(C) add physical security to the cybersecurity maturity model;(D) conduct exercises and assessments to identify and mitigate vulnerabilities to the electric grid, including providing mitigation recommendations;(E) conduct research on hardening solutions for critical components of the electric grid;(F) conduct research on mitigation and recovery solutions for critical components of the electric grid; and(G) provide technical assistance to States and other entities for standards and risk analysis.",To be determined,https://sam.gov/fal/207c437036444d9197fb38c522b0f942/view,40125,TBD
Advanced Reactor Demonstration Program,Clean Energy and Power,Department of Energy,Office of Clean Energy Demonstrations,"$2,477,000,000",,Available until expended,Cooperative Agreement,No,"Domestic Nuclear Industry Partners, National Laboratories, and Engineering and Construction firms.",To fund two large demonstrations of advanced nuclear reactors for electricity generation.,Funding for the existing advanced reactor demonstration program (DE–FOA–0002271).,To be determined,https://sam.gov/fal/061365dcf8ca4f8ba8f331bdff38f40e/view,41002,
Advanced Transportation Technologies & Innovative Mobility Deployment,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$300,000,000",,Available until expended,"Competitive Grants, Cooperative Agreements, other contracts",No,"State or local government, a transit agency, metropolitan planning organization, or a multi-jurisdictional group or a consortia of research institutions or academic institutions. The term ‘‘multi-jurisdictional group’’ means any combination of State governments, local governments, metropolitan planning agencies, or transit agencies that have signed a written agreement to implement the advanced transportation technologies deployment initiative across jurisdictional boundaries.","The Advanced Transportation Technologies & Innovative Mobility Deployment program will make competitive grants to deploy, install, and operate advanced transportation technologies.","Grants should improve safety, mobility, efficiency, system performance, intermodal connectivity, and infrastructure return on investment",To be determined,https://sam.gov/fal/cad57bdb646f4294a628ff138d61bbc0/view,13006,80 percent Federal / 20 percent non-Federal
Affordable Connectivity Program,Broadband,Federal Communications Commission,Federal Communications Commission,"$14,200,000,000",,Available until expended,Subsidies provided directly to internet service providers to apply to consumers' monthly internet bill,No,Internet Service Providers (Who Then Apply the Benefit to Consumers' Monthly Bills),"The Affordable Connectivity Program is a Federal Communications Commission benefit program that helps ensure that low-income households can afford the broadband they need for work, school, healthcare and more. Per the legislation, the Federal Communications Commission may provide grants to outreach partners to educate consumers about the Affordable Connectivity Program.","The Affordable Connectivity Program helps low income households afford home broadband service by providing up to a $30 monthly benefit on a household's monthly internet bill. For low-income households on Tribal lands the benefit is up to $75. Eligible households can also receive a one-time discount of up to $100 to purchase a laptop, desktop computer, or tablet from participating providers if the household contributes more than $10 and less than $50 toward the purchase price. The Affordable Connectivity Program is limited to one monthly service discount and one device discount per household.",To be determined,https://sam.gov/fal/9f34834e496f4067927e76cd78a27cc8/view,60502,No non-Federal cost share required
Aging Infrastructure Account,Water,Department of the Interior,Bureau of Reclamation,"$3,200,000,000",,Available until expended,Spend Plan/Application,"No, however, the Authority and funding expanded in Bipartisan Infrastructure Law","Transferred Works Operators and Reserved works Project beneficiaries (districts, power customers, cost share partners)",The Aging Infrastructure/Extraordinary Maintenance authority is used to fund extraordinary maintenance work on Reclamation project facilities.,"Repair, rehabilitation and maintenance of infrastructure assets for reserved or transferred works",RFA Open in late Oct/early Nov,,40901,Per project cost allocations
Agreement With National Oceanic and Atmospheric Administration For Geostationary Operations Environmental Satellite Program,Resilience,Department of Agriculture,Forest Service,"$10,000,000",,Available until expended,Direct Federal Spending,Yes,Forest Service Funding,Defer to NOAA,Uses will be determined by the National Oceanic and Atmospheric Administration.,To be determined,,40803,No non-Federal cost share required
Airport Infrastructure Grants,Airports and Federal Aviation Administration Facilities,Department of Transportation,Federal Aviation Administration,"$15,000,000,000",,5 year,Grant,Yes,"Public agency, Private entity, State and Tribal Government owning a public use National Plan of Integrated Airport Systems airport. Airports eligible for Airport Infrastructure Grants include Primary airports, certain cargo airports, and most general aviation/commercial service airports that are not primary airports but in the National Plan of Integrated Airport Systems. This amounts to approximately 3,100 airports.","The funds are allocated in the 3 buckets: Primary Allocation, Non‑Primary Allocation, Contract Towers",Project eligibility tracks Passenger Facility Charge eligibility. With the exception of Debt Service. Bipartisan Infrastructure Law specifically States the funds cannot be used for Debt Service.,Additional Round of Funding Allocated / Selections Announced in Summer 2022,https://sam.gov/fal/e18e3416862b476983c6a6d6195af6b4/view,"Division J, Title VIII","Matches Airport Improvement Program (5-25 percent) for allocations, not match for contract tower grants"
Airport Terminal Program,Airports and Federal Aviation Administration Facilities,Department of Transportation,Federal Aviation Administration,"$5,000,000,000",,5 year,Grant,Yes,"Public agency, Private entity, State and Tribal Government owning a public use National Plan of Integrated Airport Systems airport. Secretary of the Interior for Midway Island Airport, the Republic of the Marshall Islands, Federated States of Micronesia and Republic of Palau.","Provide grants to eligible airports for capital improvements for airport terminal development generally defined as development of an airport passenger terminal building, including terminal gates; access roads servicing exclusively airport traffic that leads directly to or from an airport passenger terminal building; walkways that lead directly to or from an airport passenger terminal building; multimodal terminal development; and projects for on-airport rail access projects. As well as projects for relocating, reconstructing, repairing or improving an airport-owned airport traffic control tower.","Capital improvements for airport terminal development generally defined as development of an airport passenger terminal building, including terminal gates; access roads servicing exclusively airport traffic that leads directly to or from an airport passenger terminal building; walkways that lead directly to or from an airport passenger terminal building; multimodal terminal development; and projects for on-airport rail access projects. As well as projects for relocating, reconstructing, repairing or improving an airport-owned air traffic control tower.",NOFO Open in Fall 2022,https://sam.gov/fal/e18e3416862b476983c6a6d6195af6b4/view,"Division J, Title VIII","Large/Medium Hub 20 percent match; All others (Small, Non and Non-Primary) 5 percent match"
All Stations Accessibility Program,Public Transportation,Department of Transportation,Federal Transit Administration,"$1,750,000,000",,To be determined,Grant,No,States and local government authorities.,"Provides capital funding to upgrade the accessibility of legacy rail fixed guideway public transportation systems for people with disabilities, including those who use wheelchairs.",Capital funding for purposes described above.,Funding Opportunity Closed in Fall 2022,,"Division J, Title VIII",80 percent Federal / 20 percent non-Federal
America’s Marine Highway Program Grants,Ports and Waterways,Department of Transportation,Maritime Administration,"$25,000,000",,10 Year,Grant,No,Department of Transportation-designated Marine Highway projects,"Grants to develop and expand marine highway service options and facilitate their further integration into the current U.S. surface transportation system, especially where water-based transport is the most efficient, effective and sustainable option.","Marine Highway Grant funds can be used for material handling/container handling equipment (e.g., reach stackers, cranes, forklifts) as well as minor port improvements such as lighting or laydown areas. Funds have been used for dredging in non-Federal navigation channels and pier-side. For vessels, the funds can be used to purchase, lease, or improve/modify vessels documented per the legislation. The Program seeks to procure zero or near-zero emission equipment when available and practical.",First Round of Funding Allocated / Selections Announced in Summer 2022,https://sam.gov/fal/a238675086fa47d0bd2b76f06ee082b8/view,"Division J, Title VIII",80 percent Federal / 20 percent non-Federal
Amtrak National Network Grants,Passenger and Freight Rail,Department of Transportation,Federal Railroad Administration,"$15,750,000,000",,Available until expended,Grant,No,Amtrak,"To provide funding for capital projects to eliminate Amtrak's backlog of deferred maintenance of rolling stock, facilities, stations, and infrastructure on the National Network.","(1) Acquiring new passenger rail rolling stock to replace Amtrak’s aging and obsolete passenger equipment fleet (and related facilities); (2) bringing Amtrak-served stations into compliance with the Americans with Disabilities Act; (3) eliminating the backlog of deferred capital work on Amtrak-owned railroad assets not located on the Northeast Corridor; and (4) projects to eliminate the backlog of obsolete assets associated with Amtrak’s national rail passenger transportation system, such as systems for reservations, security, training centers, and technology.",Award Amtrak FY22 Grant in Fall 2022,https://sam.gov/fal/72c13363036b48c08f5371f1c3865f89/view,22101,No non-Federal cost share required
Amtrak Northeast Corridor Grants,Passenger and Freight Rail,Department of Transportation,Federal Railroad Administration,"$6,000,000,000",,Available until expended,Grant,No,Amtrak,"To provide funding for capital projects to eliminate Amtrak's backlog of obsolete assets and deferred maintenance of rolling stock, facilities, stations, and infrastructure on the Northeast Corridor.",Eligible projects include: (1) acquiring new passenger rail rolling stock to replace Amtrak’s aging and obsolete passenger equipment fleet (and related facilities); (2) bringing Amtrak-served stations into compliance with the Americans with Disabilities Act; (3) eliminating the backlog of deferred capital work on sole-benefit Amtrak-owned assets located on the Northeast Corridor; and (4) carrying out Northeast Corridor capital renewal backlog projects. Funds may also be used as the non-Federal match for projects under the Federal-State Partnership for Intercity Passenger Rail Program.,Award Amtrak FY22 Grant in Fall 2022,https://sam.gov/fal/72c13363036b48c08f5371f1c3865f89/view,22101,No non-Federal cost share required
